pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.5873039	0.3475086	0.7147603	0.1454458	0.7411689	0.3811230	0.6955293	0.4796407	0.7779115	0.6548590	0.6213154	0.7659391	0.5272342	0.6225392	0.5681933	0.4381230	0.6400476	0.0960025	0.7126826	0.7757643	0.8386997	0.4032035	0.6065235	0.5073188	0.5136168	0.6658043	0.6122674	0.5004767	0.5996627	0.0840917	0.3809516	0.7298320	0.7001810	0.4443893	0.4423079	0.4424140	0.6277557	0.4295442	0.6627173	0.4274838	0.5002894	0.6724526	0.5671881	0.6830128	0.5008735	0.6971421	0.5311642	0.2410694	0.3498698	0.0325828
0.6653279	0.3983751	0.7423337	0.1457588	0.6234172	0.5084318	0.7044967	0.7145024	0.7069767	0.6437499	0.7229129	0.5540443	0.5429881	0.6082694	0.5067635	0.5098124	0.7710538	0.1002448	0.5462590	0.6278000	0.7577688	0.4789079	0.6752154	0.4876376	0.5256165	0.5956655	0.6731761	0.4682070	0.7828522	0.0610632	0.4097847	0.6667538	0.5465459	0.5964437	0.6350231	0.6031501	0.6783882	0.4263009	0.6082247	0.4867999	0.7239879	0.6575523	0.6386186	0.7615989	0.5050005	0.7513092	0.4138405	0.1840643	0.4289562	0.1233744
0.6125924	0.3135750	0.7079402	0.1097396	0.8366213	0.4164304	0.6527536	0.5456732	0.7605223	0.5699992	0.7132725	0.7048588	0.3948597	0.6733531	0.6034058	0.3171655	0.6702852	0.1319007	0.5564924	0.6839813	0.6495502	0.3787694	0.5936232	0.5781081	0.7619373	0.6597406	0.6156804	0.2858692	0.3690453	0.0085398	0.3272104	0.6318048	0.5489397	0.3651523	0.3957586	0.5220570	0.6070900	0.4301963	0.6353271	0.2313153	0.5471316	0.8157968	0.9049178	0.6636873	0.5394293	0.7405856	0.5717728	0.2738758	0.2916236	0.1911539
0.6673483	0.4796866	0.7946183	0.1242442	0.7385603	0.3621719	0.6119351	0.6233896	0.6559002	0.6522622	0.6922574	0.6527839	0.5755220	0.7815603	0.6456530	0.4440080	0.6130990	0.0627907	0.5957587	0.6719915	0.8620599	0.5003076	0.6556619	0.5074990	0.4493264	0.5945291	0.5370424	0.3762325	0.6258548	0.0769419	0.4419696	0.6089208	0.6190183	0.6648672	0.7484170	0.6158498	0.6678612	0.5230152	0.6419328	0.5033045	0.6331829	0.7100668	0.8010374	0.8529508	0.3270005	0.7661132	0.5016468	0.3183981	0.1988881	0.2254250
0.4806330	0.2112351	0.5502194	0.1746244	0.5535791	0.2523503	0.4759890	0.4504437	0.6521481	0.6388297	0.6379561	0.6039057	0.3665707	0.6343264	0.5722801	0.3744690	0.6429145	0.1723987	0.6546722	0.6402935	0.6385921	0.0766632	0.6382368	0.5320999	0.5249321	0.4121917	0.6600558	0.1428721	0.4645060	0.0422300	0.2061126	0.7324841	0.3509512	0.3924614	0.3888037	0.3360431	0.7731470	0.3142654	0.6818455	0.2475002	0.3686463	0.7677319	0.7139183	0.6939849	0.4326707	0.6597696	0.6262281	0.1418030	0.3424932	0.2670540
0.3908050	0.1897522	0.3736555	0.1688658	0.7159079	0.2392108	0.4920279	0.3957285	0.7170334	0.6350409	0.6964898	0.5912976	0.1440255	0.7094225	0.2739435	0.3310682	0.5343242	0.2819682	0.4921344	0.6185240	0.6685851	0.2479880	0.4337866	0.4000076	0.5187274	0.5659453	0.5199395	0.1335426	0.6159978	0.1062873	0.2023680	0.5762462	0.2665897	0.3908316	0.3081860	0.2381664	0.7160012	0.2978945	0.5681889	0.2236907	0.2126493	0.6460194	0.7935002	0.7712529	0.4118676	0.6558897	0.5450915	0.3185809	0.3898593	0.1184828
0.6166202	0.3091954	0.8172521	0.0933643	0.6737815	0.4246719	0.6067542	0.4720934	0.7471415	0.5899282	0.5667362	0.7494030	0.4416575	0.6764062	0.4388749	0.3962284	0.5991056	0.0792557	0.6484166	0.6874493	0.5879498	0.3946175	0.5575606	0.7256256	0.5075281	0.6114664	0.5504028	0.3789761	0.5913740	0.0910650	0.4399017	0.8214707	0.5305851	0.6019484	0.5458653	0.4613635	0.7102962	0.5796879	0.6709067	0.4707993	0.6090632	0.5810353	0.7150442	0.7808518	0.3887875	0.6686717	0.4504509	0.2835319	0.4149482	0.1352437
0.7053158	0.2998636	0.5097036	0.1551569	0.6878689	0.3823014	0.6883239	0.4115370	0.6484038	0.8066128	0.6942758	0.6314822	0.6509792	0.7445425	0.5050490	0.4965270	0.7583016	0.1143225	0.8036364	0.6831300	0.8035487	0.3266448	0.5162696	0.4354268	0.5179679	0.5324076	0.5638117	0.4486684	0.3721436	0.0198323	0.3309949	0.7577814	0.6775528	0.6176269	0.4967278	0.5296057	0.7543004	0.3620597	0.6964468	0.4527055	0.5339172	0.6910453	0.6321418	0.5963769	0.4002710	0.7060578	0.5675831	0.2912180	0.2378034	0.1680008
0.7640238	0.3524102	0.6607580	0.1255781	0.6258897	0.4398370	0.7127320	0.5941394	0.6461084	0.6926577	0.6783221	0.6562213	0.5288767	0.7491851	0.6918018	0.4544796	0.5586999	0.0914102	0.5649665	0.6555263	0.7674016	0.3886621	0.6380608	0.5908397	0.4920975	0.6352752	0.5957267	0.5559077	0.6237266	0.1056908	0.3460004	0.6044574	0.6255351	0.6013878	0.3737930	0.4802165	0.6926822	0.3354481	0.7185664	0.4547700	0.5141564	0.6244358	0.8223898	0.6962273	0.4224084	0.6590941	0.5291416	0.2129075	0.3793383	0.0568599
0.8406987	0.4062983	0.7704027	0.0787277	0.6787106	0.4380144	0.5668186	0.4463311	0.6964727	0.6368173	0.7779926	0.5590290	0.5164461	0.6670454	0.6346945	0.5785408	0.5701944	0.0450774	0.7510338	0.7188633	0.7632638	0.5659495	0.5940105	0.5759331	0.4839716	0.6442591	0.7485498	0.3328779	0.6448282	0.0284339	0.5288906	0.7137161	0.4534922	0.5639716	0.5415843	0.4960634	0.7069175	0.4389863	0.7101786	0.4537414	0.5372033	0.7323055	0.7426176	0.7781288	0.4578453	0.7274455	0.4633951	0.2841574	0.3904657	0.1686249
