pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9292037	0.5360737	0.9492965	0.2605651	1.0084984	0.5479422	0.9625003	0.6700031	0.9984723	0.9627901	1.0582040	1.0426780	0.7525922	0.9082391	0.8529718	0.7509302	0.9404856	0.1634433	1.0751192	0.9373916	0.9936139	0.6252165	0.8807818	0.8019200	0.7892877	0.8930599	0.9818632	0.5655281	0.9539136	0.1287587	0.3085478	0.8947075	0.9988930	0.8692243	0.9239977	0.6269253	0.9627232	0.5303781	0.9275301	0.6346698	0.7255393	1.0240404	0.9232193	1.0618562	0.8175404	1.1373124	0.7115788	0.3486833	0.5616970	0.2866468
0.8832786	0.5679771	1.0536555	0.1803620	0.9819572	0.5581448	0.9779904	0.6934283	0.9741778	0.9716346	1.0401925	1.0067579	0.6050282	0.9648326	0.7758247	0.8000554	0.9655039	0.1714925	0.9396660	0.9365787	0.9886569	0.5965186	0.9018889	0.7679580	0.5979929	0.8386241	0.9029832	0.5722262	0.9310572	0.0988466	0.6187332	0.4824155	0.8975110	0.8663150	0.8368722	0.6845052	0.9760657	0.5136698	1.0176963	0.6125565	0.8222521	1.0750009	0.9898992	1.0388337	0.7238543	0.9627285	0.6624386	0.4421352	0.6070435	0.3191836
0.9585862	0.5938774	1.0301347	0.1999307	1.0067449	0.5789403	0.8566518	0.7236228	0.9732864	0.9160186	1.0161264	1.0120599	0.7018133	1.0310873	0.7766388	0.6386299	1.0295492	0.1505293	1.0075005	0.9884771	1.0553262	0.5788433	0.8958458	0.8017422	0.7022492	0.9592824	0.9644547	0.5330023	0.9376372	0.1169407	0.7061256	1.1258943	0.4599519	0.8462757	0.8178303	0.7954884	0.8951421	0.5636807	0.9721860	0.6856966	0.8537571	1.0290427	0.9996191	1.1087204	0.7458124	1.1085764	0.7989621	0.4404262	0.6234761	0.2875559
1.0394131	0.5468198	0.9903415	0.2007870	0.9417342	0.5652426	0.8603718	0.6909920	1.0641946	0.9279747	1.0318058	0.9755476	0.6516702	1.0056406	0.8118387	0.7116051	1.1320073	0.1732007	1.0051435	0.9427038	0.9771868	0.6172602	1.0156022	0.8315746	0.8027761	0.9889710	0.9691499	0.5394079	1.0623484	0.1282313	0.6353912	1.0804320	0.9815950	0.4964424	0.8971300	0.7271832	1.0462468	0.5728175	0.9142633	0.6121473	0.7343537	1.1245189	0.9630109	0.9883876	0.7099115	0.9492544	0.7712310	0.4250159	0.6323141	0.2855700
0.9895251	0.4877199	1.0763984	0.2339562	1.0003396	0.5743923	0.8633189	0.6620891	0.9947373	0.9570268	1.0615296	0.8547438	0.6544817	0.9297760	0.7843725	0.6984267	0.9335072	0.1873198	0.9914937	0.9021191	0.9964756	0.5249367	0.9600495	0.7669944	0.7428525	0.9178323	1.0066824	0.5151674	1.0232565	0.1399936	0.5916728	1.1275434	0.9987455	0.8093378	0.4392260	0.6260655	1.0064139	0.6565076	1.0258201	0.5611656	0.7995712	1.0115422	1.0393278	0.9127001	0.7225747	0.9860470	0.7331390	0.4067327	0.5055341	0.2706342
1.0299026	0.5034619	0.9804999	0.1774464	0.9595038	0.5844688	0.9403710	0.6997848	1.0749332	1.0121368	0.9902771	0.9643402	0.7080886	0.9991369	0.7959527	0.7082722	1.0196250	0.1850350	0.9844512	1.0526075	0.9975017	0.5669103	0.9598708	0.8224923	0.8228177	0.9245230	0.9236997	0.6467231	1.0235394	0.0881887	0.5574482	0.9423816	0.9372945	0.9247071	0.7714172	0.4996762	1.0446160	0.5776442	0.9337531	0.6993323	0.8845361	0.9405524	1.0368142	1.0127471	0.7713229	1.1831520	0.7430045	0.3394992	0.5174013	0.2721764
1.0126420	0.4857242	1.0162726	0.2279918	1.0618962	0.4853398	0.8315660	0.6214538	1.0371371	0.9197980	0.9899487	0.9478523	0.6315224	1.0335350	0.7384963	0.6999805	1.0075779	0.1382814	0.9939734	1.0218384	0.9560338	0.5149486	0.8817671	0.9268081	0.8362331	1.0040005	0.9317017	0.5884805	1.0028052	0.1122383	0.6520583	1.0221533	0.9469852	0.7494043	0.8348819	0.6681171	0.5639824	0.5567481	1.0503895	0.6441684	0.7621882	0.8974786	1.0704999	0.8819916	0.6961625	0.9911385	0.6469133	0.4029930	0.5497331	0.2891826
1.0010071	0.4940774	1.0064225	0.1742864	1.1300410	0.6139797	0.9280336	0.7346105	1.0321467	1.0018105	0.9187344	0.8562698	0.6842537	1.0261291	0.8177985	0.7727286	0.9904674	0.1457833	0.9814521	0.9620268	1.0046820	0.5684669	0.9170600	0.7828490	0.7322897	0.9504141	0.8665732	0.5596148	0.9868581	0.1412256	0.6268327	1.0788715	0.7957313	0.7261280	0.7851697	0.6642180	1.0617731	0.2399489	1.0208866	0.6098461	0.7442708	1.0242469	1.0146757	0.9706092	0.6410252	0.9613528	0.7694356	0.3674893	0.7091465	0.2591845
1.0504537	0.4897385	0.9749587	0.2176553	1.0549988	0.5606668	0.9106622	0.6273988	1.0321955	1.1229919	0.9901801	1.0176863	0.6324059	0.9830720	0.7872424	0.7092334	1.0786368	0.2019289	1.0519516	0.9474699	0.9665369	0.5622503	0.9903433	0.8515058	0.8072772	0.8606737	0.9639958	0.5288178	1.0836758	0.1282059	0.5509340	0.9949338	0.8866258	0.8116691	0.7487253	0.5538008	1.0284584	0.5726314	0.4793653	0.6203412	0.7249020	0.9540507	1.0307861	0.9931921	0.7886198	1.0520850	0.8340568	0.3643841	0.5257636	0.2877665
0.9775743	0.4903550	0.9664887	0.2310886	1.0857591	0.4826430	0.7992554	0.7505634	0.9948686	0.9558309	1.0454366	1.1234001	0.6991302	1.0545537	0.7942994	0.7394154	1.0775850	0.1533316	1.1180191	0.9763501	0.9885046	0.5198274	0.9242920	0.8400312	0.7340458	0.9193916	0.9207370	0.5367183	1.0952150	0.1301537	0.6643846	1.0327817	0.9076976	0.7312998	0.9382259	0.7097329	1.0526130	0.4976071	0.9554673	0.2684869	0.7696790	0.9524694	0.9756853	0.9761096	0.7353120	0.9623271	0.7297518	0.3622246	0.6294931	0.3154819
